"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,624,928"
"0","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,336,320"
"0","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.27"
"1","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,702,080"
"1","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,359,584"
"1","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.38"
"2","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,608,448"
"2","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,332,256"
"2","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.31"
"3","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,643,520"
"3","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","16,347,776"
"3","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","20.43"
"4","9754","frameforge","127.0.0.1","normalize_v2_launch(const unsigned char *, float *, int, float, float, float, float, float, float)","1","7","(32, 1, 1)","(115200, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","5,691,712"
