==PROF== Connected to process 28007 (/content/cuda/week5_frameforge/build/frameforge)
==PROF== Disconnected from process 28007
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","13","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","1,094,720"
"0","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","13","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","3,143,136"
"0","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","13","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","42.47"
"0","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","13","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","19,656.40"
"1","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","14","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","1,097,504"
"1","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","14","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","3,142,656"
"1","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","14","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","42.78"
"1","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","14","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","19,540.60"
"2","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","15","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","1,092,224"
"2","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","15","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","3,128,832"
"2","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","15","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","42.44"
"2","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","15","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","19,508.40"
"3","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","16","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","1,096,992"
"3","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","16","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","3,152,128"
"3","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","16","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","42.59"
"3","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","16","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","sm__cycles_elapsed.avg","cycle","19,408.60"
"4","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","17","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","byte","1,100,768"
"4","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","17","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","byte","3,130,816"
"4","28007","frameforge","127.0.0.1","normalize_v3_coalesced(const unsigned char *, float *, int, float, float, float, float, float, float, double *)","1","17","(256, 1, 1)","(3600, 1, 1)","0","7.5","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","42.34"
